,0
0,"

뉴턴
전기용어사전

힘의 MKSA 단위. 질량 1㎏의 물체에 작용하여 1m/s2의 가속도(加速度)를 발생시키는 힘을 나타낸다. 뉴턴의 기호는 N이다. 1N은 105dyn(다인)에 해당한다. 중력가속도가 9.8m/s2인 지점에서 1㎏의 물체에 작용하는 중력(重力)의 크기는 9.8N이고, 1N의 힘으로 물체를 힘의 방향으로 1m만큼 움직이는 동안에 한 일은 1J(줄)이다.
외국어 표기 newton(영어)

"
1,"도수 분포의 상태를 기둥 모양의 그래프로 나타낸 것. 통계를 잡고, 그것을 여러 계급으로 나누어서 각 계급에 속하는 도수를 세면 도수 분포표가 얻어진다."
2,"천장, 벽, 바닥 등의 표면 또는 그들 내부의 온도가 그 위치의 습공기의 노점 이하로 되었을 때 공기 중의 수증기는 액체가 된다. 이것을 결로라 한다. 결로에는 표면 결로와 내부 결로가 있다."
3,"

폴리프로필렌
과학용어사전

프로필렌의 중합체. 내약품성, 기계적 성질, 열적 성질도 우수하다. 천연가스로부터 풍부하게 얻어지는, 에틸렌과 비슷하고 탄소 원자가 하나 많은 프로필렌을 중합시키면 폴리에틸렌보다 투명하고 굴절에 강한 폴리프로필렌이 만들어진다. 이탈리아의 몬테카치니사가 최초로 상업화하였다. 아울러 촉매법에 의해 중합하고, 입체 규칙성의 것이 만들어지고 있다.
외국어 표기 polypropylene(영어)

"
4,침대 중에서 가장 큰 사이즈의 것. 세미더블 침대의 매트리스 두 장분 정도 크다.
5,"건물의 연직면으로의 투상도(投像圖). 통상 평면도에 입각해서 그리고 축척도 같게 한다. 건축물의 외면 각부의 형상, 창이나 출입구 등의 위치 · 치수 · 마감 방법 등을 알 수 있다."
6,건설의 전공사가 완료하는 것. 확인 신청을 필요로 하는 공사에서는 공사 완료 후 건축주는 공사 완료계를 건축 담당 관청에 제출하여 검사를 받아야 한다. 또 시공자는 자기가 소속하는 회사에 준공 보고서를 제출한다.
7,"

임대
건축용어사전

임대인(賃貸人)이 자기가 소유하는 물건을 임차인에게 사용 또는 수익케 하고 그 대가로서 임대료를 받는 계약.
외국어 표기 lease(영어), 賃貸(한자)
동의어 lending, letting

"
8,"

유량
건축용어사전

관 속 또는 흐름 속에 생각한 하나의 면을 통해서 단위 시간에 흐르는 유체의 질량 또는 체적. 유체의 밀도를 ρ, 비중량을 Ƴ, 면의 면적을 A, 유속을 v로 하면 질량의 유량(mass flow, weightflow)은 ρAv 또는 Ƴav, 체적의 유량은 Av로 나타내어진다. 후자는 ㎥/s, l/s, ㎥/min 등이 쓰인다.
외국어 표기 quantity of flow(영어), 流量(한자)

"
9,"도로망의 기본이 되는 주요 도로. 중요 도시간을 연결한다든지, 도시 내의 중요 지구를 연결하기 위한 도로."
